title,rating,year,wins,nominations,news,reviews
Futurama: Bender's Game (Video 2008),7.3,2008,0,0,16,36
Heroes Chapter Five 'Fight or Flight' (TV Episode 2007),7.9,2007,0,0,0,1
Would I Lie to You? (TV Series 2007– ),8.1,2007,1,3,0,2
So spielt das Leben (2010),6.5,2010,0,0,836,87
Painted Skin - Die verfluchten Krieger (2008),6.4,2008,8,20,0,15
Transformers: Animated (TV Series 2007– ),6.7,2007,0,0,30,27
Transformers - Die Rache (2009),6,2009,10,21,4481,1420
The Culture Show British Film Special (TV Episode 2007),,2007,0,0,0,0
Hollywood on Set Evan Almighty/Eagle Vs. Shark/A Mighty Heart (TV Episode 2007),,2007,0,0,0,0
Flashpoint - Das Spezialkommando (TV Series 2008–2012),7.7,2008,22,68,217,61
Crap Shoot: The Documentary (2007),4.7,2007,1,0,0,7
Baseball The National Pastime (TV Episode 1994),8.2,1994,0,0,0,2
Wasser für die Elefanten (2011),7,2011,3,9,3978,256
Adult World (2013),6.1,2013,0,0,157,28
Plötzlich Star (2011),5.7,2011,0,0,0,40
Larry King Live Mark Consuelos (TV Episode 2007),,2007,0,0,0,0
Telstar: The Joe Meek Story (2008),6.4,2008,0,0,33,21
Der Ja-Sager (2008),6.9,2008,3,7,751,233
Code Monkeys (TV Series 2007– ),7.2,2007,0,0,0,15
Nokan - Die Kunst des Ausklangs (2008),8.1,2008,33,6,40,95
Ink (2009),7,2009,1,0,29,192
Ghost Rider: Spirit of Vengeance (2011),4.3,2011,0,0,1941,305
Boeing Boeing (TV Movie 1978),,1978,0,0,0,0
Party Down (TV Series 2009–2010),8.3,2009,1,1,1178,23
Prayers for Bobby (TV Movie 2009),8.1,2009,2,7,135,37
Supravietuitorul (2008),6.3,2008,0,0,0,11
Chucho el remendado (1952),7,1952,0,0,0,0
Die Jagd zum magischen Berg (2009),5.7,2009,0,0,564,106
You Bet Your Life Episode #9.33 (TV Episode 1959),,1959,0,0,0,0
Johnny Gaddaar (2007),8,2007,3,1,0,56
Planet Terror (2007),7.2,2007,0,0,711,246
Cheon-nyeon-yeo-woo-yeo-woo-bi (2007),7.1,2007,0,0,0,5
Diary of a Miniature Stunt Pilot (Video 2007),,2007,0,0,0,0
Comin' Round the Mountain (1951),6.9,1951,0,0,0,10
Jerry Cotton (2010),5.2,2010,0,0,0,0
Dangerous Days: Making Blade Runner (Video 2007),8.3,2007,0,0,0,8
David und Bathseba (1951),6.1,1951,1,1,5,21
Quarantäne (2008),6.1,2008,1,4,640,357
Saalis (2007),7,2007,1,0,0,0
The Wackness (2008),7.1,2008,3,4,746,73
Real World/Road Rules Challenge Physically and Mentally Challenged: The 25 Most Unforgettable Challenge Moments (TV Episode 2008),7.6,2008,0,0,0,0
Fired Up! - Das Cheerleader-Camp (2009),6.2,2009,1,0,3,58
Star Stories The Church of Scientology Presents... Being Tom Cruise: Why Scientology Isn't in Any Way Mental (TV Episode 2007),7.7,2007,0,0,0,0
Ballet Shoes (TV Movie 2007),6.9,2007,2,0,27,27
Kevin Smith: Sold Out - A Threevening with Kevin Smith (Video 2008),7.9,2008,0,0,0,5
Killzone 2 (Video Game 2009),8.1,2009,0,0,0,10
Wanted (2009),6.6,2009,0,0,0,36
Outnumbered (TV Series 2007– ),8.2,2007,7,18,144,19
Maneater (TV Mini-Series 2009),6.2,2009,0,1,28,9
Keeping Up with the Kardashians (TV Series 2007– ),2.8,2007,8,7,5087,29
Eden Log (2007),5.3,2007,0,0,60,59
Cinemania (TV Series 1998– ),7.1,1998,0,0,0,0
Der Tod eines Handlungsreisenden (1951),7.5,1951,6,6,13,12
Chandni Chowk to China (2009),3.8,2009,0,0,299,79
Bob Saget: That Ain't Right (TV Movie 2007),6.3,2007,0,0,0,22
Golmaal Returns (2008),4.8,2008,0,0,230,19
A nyomozó (2008),7.7,2008,7,2,0,5
Passchendaele (2008),6.6,2008,10,5,13,96
Rommel\,http://www.imdb.com/title/tt0043461/,5280,video.movie,0,16,3
The Projection Booth (2007),,2007,0,0,0,0
American Gladiators (TV Series 2008– ),5.8,2008,0,0,135,4
Jab We Met (2007),8,2007,7,14,430,57
Encounters at the End of the World (2007),7.8,2007,2,7,109,60
Obscene (2007),7,2007,0,0,7,6
Shopaholic - Die Schnäppchenjägerin (2009),5.8,2009,1,3,314,121
Heima (2007),8.6,2007,0,0,20,16
Dragonball Evolution (2009),2.9,2009,0,0,499,501
Twilight - Biss zum Morgengrauen (2008),5.2,2008,25,10,1043,1505
35 Rum (2008),7,2008,3,6,0,19
Admiral (2008),6.9,2008,6,2,3,17
Troldspejlet Episode #38.2 (TV Episode 2007),,2007,0,0,0,0
Kiss & Kill (2010),5.3,2010,2,3,827,114
Two Lovers (2008),7.1,2008,3,8,514,95
Er shi si cheng ji (2008),7.2,2008,0,0,0,13
Leverage (TV Series 2008–2012),7.8,2008,3,19,714,66
The Commune (2009),4.9,2009,0,0,17,11
Eureka: Hide and Seek (TV Series 2006– ),8,2006,0,0,0,0
Der Tiger (1951),7.4,1951,0,0,0,41
SexTV Surrogate Partner Therapy/Devil's Playground/A Moment with... Martin Dillon (TV Episode 2003),,2003,0,0,0,0
Feast II: Sloppy Seconds (Video 2008),5.2,2008,0,0,0,73
Feast III: The Happy Finish (Video 2009),5,2009,0,0,23,27
Kismat Konnection (2008),5.1,2008,0,0,55,21
Yuvvraaj (2008),4.2,2008,1,1,84,24
Ca$h (2010),6.1,2010,0,0,6,27
Jagdfieber 2 (2008),5.6,2008,0,0,48,27
Lockjaw: Rise of the Kulev Serpent (Video 2008),2.4,2008,0,0,0,16
Der letzte Angriff (1951),7.1,1951,0,0,0,26
QI Engineering (TV Episode 2007),7,2007,0,0,0,0
The Light and the Dark: The Making of 'Face/Off' (Video 2007),7.6,2007,0,0,0,0
Liebe und Eis 3 (TV Movie 2008),6.4,2008,0,0,3,13
Open Sesame: The Making of 'Arabian Nights' (TV Movie 2000),,2000,0,0,0,0
Yperoha plasmata (TV Series 2007– ),7.3,2007,0,0,0,0
Heroes Unmasked (TV Series 2007–2008),8,2007,0,0,0,0
Guadalcanal - Entscheidung im Pazifik (1951),6.4,1951,0,0,17,33
Super High Me (2007),6.2,2007,0,0,37,32
Muchachada nui (TV Series 2007– ),7.8,2007,0,0,0,0
L'ennemi intime (TV Mini-Series 2002),7.6,2002,0,0,0,2
George Harrison: Living in the Material World (2011),8.2,2011,4,9,257,26
Animaniacs A Christmas Plotz/Little Drummer Warners (TV Episode 1993),8.2,1993,0,0,0,0
Flying Padre: An RKO-Pathe Screenliner (1951),5.7,1951,0,0,0,15
Hannah Montana: Der Film (2009),4,2009,6,10,546,137
Aaron Stone (TV Series 2009–2010),7,2009,0,0,17,4
Wild Chicks (Video 2009),5,2009,0,0,12,17
Mad Men Maidenform (TV Episode 2008),8.1,2008,0,0,0,1
Auf Leben und Brot (TV Short 2008),7.6,2008,3,3,11,35
The United States Steel Hour Fearful Decision (TV Episode 1955),,1955,0,0,0,0
An Inconvenient Penguin Death March (2007),,2007,0,0,0,0
Die Brücke (TV Movie 2008),4.7,2008,0,0,0,11
Superman ieotdeon sanai (2008),7.5,2008,0,0,0,9
Fringe - Grenzfälle des FBI (TV Series 2008–2013),8.5,2008,17,66,6341,362
BBC Sunday-Night Theatre The Philadelphia Story (TV Episode 1959),,1959,0,0,0,0
HBO First Look The Golden Compass (TV Episode 2007),5.3,2007,0,0,0,0
Sutorenjia: Mukô hadan (2007),7.8,2007,0,0,0,33
Allemaal film (TV Series 2007),7.3,2007,0,0,0,0
Mütter und Töchter (2009),7.3,2009,2,11,3,64
The Middleman (TV Series 2008),8.2,2008,0,0,0,19
Scene by Scene (TV Series 1996–2001),6.8,1996,0,0,0,0
Sons of Anarchy (TV Series 2008– ),8.7,2008,5,25,5708,143
True Confessions of a Hollywood Starlet (TV Movie 2008),5.9,2008,0,0,11,4
Dragon Ball Z: Rache für Freezer (1991),7.2,1991,0,0,0,3
Call of Duty 4: Modern Warfare (Video Game 2007),9.3,2007,1,2,0,33
Love Ranch (2010),5.6,2010,1,1,243,18
Allemaal film De gouden jaren (TV Episode 2007),,2007,0,0,0,0
Allemaal film Tussen kunst en kassa (TV Episode 2007),,2007,0,0,0,0
Burlesque (2010),6.3,2010,3,13,1699,209
Bobbed Hair (1925),7,1925,0,0,0,1
Taking Woodstock (2009),6.7,2009,0,0,576,68
Transporter 3 (2008),6,2008,0,0,511,169
SexTV Romain Slocombe/Spreading Misandry/Carolyn Weltman (TV Episode 2003),,2003,0,0,0,0
Der Informant! (2009),6.5,2009,0,12,88,167
Radio Rock Revolution (2009),7.4,2009,1,6,612,198
The Factory (2012),5.7,2012,0,0,128,56
Warehouse 13 (TV Series 2009– ),7.6,2009,0,2,1850,104
Boogie (2008),7.3,2008,9,8,0,7
Maan Gaye Mughall-E-Azam (2008),3.2,2008,0,0,0,11
The Doctors (TV Series 2008– ),5.1,2008,1,7,0,5
Saw V (2008),5.8,2008,1,1,817,250
What Doesn't Kill You (2008),6.7,2008,0,0,2,40
Serious Moonlight (2009),5.4,2009,0,0,144,36
Survival of the Dead (2009),5,2009,0,0,574,153
Dein Freund\,http://www.imdb.com/title/tt1134859/,660,video.movie,1,2,14
Dollhouse (TV Series 2009–2010),7.8,2009,0,0,2586,155
Jungle Manhunt (1951),6.4,1951,0,0,0,11
Spritztour (2008),6.6,2008,0,0,396,100
Summer '68 (1969),,1969,0,0,0,0
Lost Continent (1951),2.9,1951,0,0,4,34
El nido vacío (2008),6.4,2008,6,22,0,2
Princess Sarah (TV Series 2007– ),7.3,2007,0,0,0,1
Die nackte Wahrheit (2009),6.5,2009,3,4,957,167
Best Worst Movie (2009),7.4,2009,2,1,354,38
Final Destination 4 (2009),5.1,2009,2,1,1127,283
Shark Week (TV Series 1987– ),8.3,1987,0,0,0,0
The Man from Planet X (1951),5.8,1951,0,0,14,44
Sugata Sanshirô (TV Movie 2007),,2007,0,0,0,0
Monster (Video 2008),2.2,2008,0,0,9,32
Micmacs - Uns gehört Paris! (2009),7.2,2009,4,8,29,68
Heroes Unmasked Growing Pains (TV Episode 2007),5.8,2007,0,0,0,0
Val Lewton: The Man in the Shadows (TV Movie 2007),7.4,2007,0,0,0,10
Wendy and Lucy (2008),7.1,2008,9,10,249,108
Today's Special (2009),6.9,2009,0,0,13,14
My Forbidden Past (1951),6.2,1951,0,0,0,16
Trauzeuge gesucht! (2009),7.1,2009,1,6,39,207
Karate Kid (2010),6.2,2010,5,13,1235,394
Man on Wire - Der Drahtseilakt (2008),7.9,2008,33,9,703,118
Homestarrunner.com: Everything Else\,http://www.imdb.com/title/tt1156312/,7440,video.movie,0,0,0
Kamui gaiden (2009),5.8,2009,0,0,7,7
Anvil! Die Geschichte einer Freundschaft (2008),8,2008,23,8,58,61
Roman Polanski: Wanted and Desired (2008),7.4,2008,2,8,103,40
On Dangerous Ground (1951),7.4,1951,0,0,27,66
Body sob 19 (2007),6.7,2007,1,8,0,6
The Landlord (2007),8.2,2007,0,0,0,7
Siskel & Ebert & the Movies Episode dated 13 October 2007 (TV Episode 2007),,2007,0,0,0,0
Gentlemen Broncos (2009),6.1,2009,0,0,285,49
On Moonlight Bay (1951),7.1,1951,0,0,5,24
Pagafantas (2009),6.3,2009,8,4,0,1
Promoting Dystopia: Rendering the Poster Art (Video 2007),6.9,2007,0,0,0,1
The Rite - Das Ritual (2011),6,2011,1,3,713,184
Spaghetti Western Trailer Show (Video 2007),7.3,2007,0,0,0,0
Outrageous Fortune Fathers\, Sons (TV Episode 2006),8.6,3600,2006,0,0
The Bill Assault on Sun Hill: Part 1 (TV Episode 2007),,2007,0,0,0,0
22 Bullets (2010),6.7,2010,0,0,9,32
A Bunch of Amateurs (2008),6.1,2008,0,0,0,20
Psych Shawn (and Gus) of the Dead (TV Episode 2008),8.8,2008,0,0,0,1
The Children (2008),6,2008,1,5,106,110
Company Men (2010),6.8,2010,1,5,728,114
The House of the Devil (2009),6.5,2009,3,5,917,171
The O'Reilly Factor Episode dated 18 January 2008 (TV Episode 2008),4.3,2008,0,0,0,0
Lassie und die Goldgräber (1951),3.3,1951,0,0,0,7
Resident Evil - Degeneration (2008),6.6,2008,0,0,69,87
W. (2008),6.4,2008,1,4,64,309
Cocaine Cowboys 2 (2008),6.7,2008,0,0,0,4
The O'Reilly Factor Episode dated 25 January 2008 (TV Episode 2008),2.2,2008,0,0,0,0
Whatever Works - Liebe sich wer kann (2009),7.2,2009,2,0,542,150
Pandora und der fliegende Holländer (1951),7.1,1951,0,0,19,38
6 Souls (2010),6.1,2010,0,0,226,68
Siskel & Ebert & the Movies Episode dated 22 September 2007 (TV Episode 2007),,2007,0,0,0,0
Mithya (2008),7.1,2008,0,0,0,124
My Bloody Valentine 3D (2009),5.5,2009,0,0,1201,261
Paranormal Activity (2007),6.4,2007,3,7,7851,1163
Antoine et Colette (1962),7.7,1962,0,0,0,8
The Listener - Hellhörig (TV Series 2009– ),6.7,2009,0,0,83,30
Vradya epitheorisis (TV Series 1984– ),,1984,0,0,0,0
Black Death (2010),6.4,2010,4,6,662,122
Bunraku (2010),6.2,2010,0,0,217,61
Zack & Cody an Bord (TV Series 2008–2011),6.1,2008,5,5,95,35
Ich sehe den Mann deiner Träume (2010),6.3,2010,2,1,634,100
Gegen jeden Zweifel (2009),5.8,2009,0,0,30,59
Cracks (2009),6.7,2009,0,0,168,37
Tôkyô zankoku keisatsu (2008),6,2008,2,0,0,61
Alphas (TV Series 2011–2012),7.3,2011,0,0,495,60
The Vicious Kind (2009),7.1,2009,4,2,134,34
Mega Monster Movie (2009),3.6,2009,1,0,78,64
Ufos\,http://www.imdb.com/title/tt1185371/,5160,video.movie,0,2,67
The Cell 2 (Video 2009),2.9,2009,0,0,22,63
Ninja Assassin (2009),6.4,2009,0,0,1048,183
Toy Boy (2009),5.9,2009,0,0,276,51
The Red Badge of Courage (1951),7.3,1951,1,0,9,49
Wonder Woman (Video 2009),7.3,2009,0,0,614,34
Greek 47 Hours and 11 Minutes (TV Episode 2008),7.9,2008,0,0,0,0
That Mitchell and Webb Look Episode #2.1 (TV Episode 2008),7.4,2008,0,0,0,0
Das Königreich der Yan (2008),5.9,2008,0,0,0,20
Skins - Hautnah Sketch (TV Episode 2008),8.1,2008,0,0,0,1
Der Strom (1951),7.6,1951,3,1,19,32
Cold Prey 2 Resurrection - Kälter als der Tod (2008),6.2,2008,0,0,0,19
Psych There Might Be Blood (TV Episode 2008),7.9,2008,0,0,0,0
2012 - Das Ende der Welt (2009),5.8,2009,4,16,63,1024
Black Dynamite (2009),7.4,2009,2,3,585,77
Nurse Jackie (TV Series 2009– ),7.6,2009,11,53,2878,30
The Real Housewives of New York City (TV Series 2008– ),3.6,2008,0,0,793,5
Enter the Void (2009),7.3,2009,3,3,552,168
Ben 10: Alien Force (TV Series 2008– ),7,2008,1,2,22,9
The Crook Buster (1925),6.3,1925,0,0,0,0
Where Danger Lives: White Rose for Julie (Video 2007),,2007,0,0,0,0
Il grande sogno (2009),5.6,2009,2,1,0,4
Polytechnique (2009),7.3,2009,16,7,85,20
Am Ende des Weges (2009),7.1,2009,3,21,871,89
Stille Hochzeit - Zum Teufel mit Stalin (2008),8,2008,3,7,0,19
Fast verheiratet (2012),6.2,2012,0,0,956,136
The Cleveland Show (TV Series 2009– ),5.6,2009,1,5,1224,83
Witch Hunt (2008),7.5,2008,1,0,0,8
Charles Dickens - Eine Weihnachtsgeschichte (1951),8.1,1951,0,0,403,198
Prinzessinnen Schutzprogramm (TV Movie 2009),5.6,2009,3,3,79,21
The Mentalist (TV Series 2008– ),8.1,2008,4,14,1858,111
Lang lebe Charlie Countryman (2013),6.4,2013,0,0,352,53
Kites (2010),6,2010,0,0,652,105
A City of Shoulders and Noses,,,0,0,0,0
30 for 30 The U (TV Episode 2009),7.9,2009,0,0,0,6
Thou Shalt Not: Sex\,http://www.imdb.com/title/tt1200078/,4080,video.movie,0,0,0
Mississippi-Melodie (1951),7,1951,1,2,48,43
Barbie Mariposa and Her Butterfly Fairy Friends (Video 2008),5.6,2008,0,0,0,3
Tyrannosaur - Eine Liebesgeschichte (2011),7.6,2011,17,20,661,78
Lieber verliebt (2009),6.4,2009,0,0,109,73
Einen Sommer lang (1951),7.6,1951,0,0,23,16
The Making of 'Stop-Loss' (Video 2008),6.7,2008,0,0,0,0
Troldspejlet Episode #22.8 (TV Episode 1999),,1999,0,0,0,0
Troldspejlet Episode #23.17 (TV Episode 2000),,2000,0,0,0,0
Troldspejlet Episode #25.7 (TV Episode 2001),,2001,0,0,0,0
Beautiful Kate (2009),6.8,2009,6,21,84,27
Die Girls von St. Trinian 2 - Auf Schatzsuche (2009),5.3,2009,0,0,27,27
Die Hölle von Korea (1951),7.6,1951,1,0,0,33
Team Fortress 2 (Video Game 2007),8.5,2007,0,0,0,2
Kotha Bangaru Lokam (2008),6.9,2008,0,0,0,1
The O'Reilly Factor Episode dated 1 April 2008 (TV Episode 2008),,2008,0,0,0,0
Batman: The Brave and the Bold (TV Series 2008–2011),7.2,2008,0,1,279,24
Good Hair (2009),6.9,2009,5,7,232,24
Die wilden Hühner und das Leben (2009),5.3,2009,0,0,0,0
The O'Reilly Factor Episode dated 2 April 2008 (TV Episode 2008),3.1,2008,0,0,0,0
Sinterklaas en het geheim van het grote boek (2008),5.1,2008,1,0,0,1
Alle hassen Chris Everybody Hates the BFD (TV Episode 2008),7.5,2008,0,0,0,1
Pakt der Rache (2011),6.2,2011,0,0,438,85
Cars 2 (2011),6.4,2011,1,16,3454,271
TinkerBell - Ein Sommer voller Abenteuer (Video 2010),7,2010,0,0,64,12
Merida - Legende der Highlands (2012),7.2,2012,15,31,1480,396
Das Geheimnis der Feenflügel (2012),7.1,2012,0,0,91,21
World Invasion: Battle Los Angeles (2011),5.8,2011,1,2,2680,790
Ohne Schuld (2008),7.2,2008,0,0,0,26
The Chronicles of Riddick: Assault on Dark Athena (Video Game 2009),8.6,2009,0,0,0,0
Der Weg\,http://www.imdb.com/title/tt0044084/,5100,video.movie,0,3,0
Oscar 2009 - Die Academy Awards (2009),8,2009,0,7,8,15
Family Guy The Former Life of Brian (TV Episode 2008),6.9,2008,0,0,0,2
The Inbetweeners - Unsere jungfräulichen Jahre (TV Series 2008–2010),8.5,2008,13,13,547,33
EMI: Liya Hai To Chukana Padega (2008),4.4,2008,0,0,0,7
Beneath the Blue (2010),5.1,2010,0,0,0,3
Schimpansen (2012),7.1,2012,0,0,124,25
Kikeri Pete (TV Movie 2009),5.6,2009,0,0,0,4
Million Dollar Password (TV Series 2008– ),6.9,2008,0,0,12,4
Ausgequetscht (2009),6.2,2009,0,0,543,94
Männertrip (2010),6.4,2010,0,0,2084,195
Auftrag Rache (2010),6.6,2010,0,0,961,246
Verfolgt (1951),7.2,1951,0,0,0,11
Pontypool (2008),6.7,2008,1,9,287,132
Dr. Horrible's Sing-Along Blog (TV Mini-Series 2008),8.8,2008,2,0,282,62
It Might Get Loud (2008),7.7,2008,0,0,179,40
Karawane der Frauen (1951),7.6,1951,0,0,7,36
Gary Unmarried (TV Series 2008–2010),6.8,2008,3,3,277,20
Hung - Um Längen besser (TV Series 2009–2011),7.2,2009,0,5,1038,35
The Psycho Legacy (Video 2010),7,2010,0,0,0,5
Rock On!! (2008),7.9,2008,13,15,0,79
The Angry Video Game Nerd (TV Series 2006– ),8.9,2006,0,0,0,35
The Yellow Sea (2010),7.4,2010,4,9,2,25
Nerdcore for Life (2008),8,2008,1,0,0,1
Wenn Liebe so einfach wäre (2009),6.6,2009,5,8,915,209
Billu (2009),6,2009,0,0,126,47
Late Night with Jimmy Fallon (TV Series 2009– ),6.9,2009,2,11,3330,28
Hot Tub - Der Whirlpool... ist 'ne verdammte Zeitmaschine (2010),6.5,2010,0,0,1816,222
Der Chaos-Dad (2012),5.6,2012,4,9,596,180
Kapitalismus: Eine Liebesgeschichte (2009),7.4,2009,6,7,544,186
Harper's Island (TV Series 2009),7.5,2009,1,2,230,74
Adventures of Superman (TV Series 1952–1958),7.9,1958,1,3,228,49
Brighton Rock (2010),5.8,2010,1,7,347,51
Saw VI (2009),6,2009,0,0,1421,182
The Butterfly Effect 3: Revelations (2009),5.6,2009,0,0,30,48
Le dernier vol (2009),5.5,2009,0,0,0,7
Männer\,http://www.imdb.com/title/tt1234548/,5640,video.movie,1,43,874
Amália (2008),6.4,2008,2,3,0,3
Im wilden Westen (TV Series 1952–1970),7.3,1970,1,0,0,8
Lie to Me (TV Series 2009–2011),8,2009,3,4,1369,102
Das Bildnis des Dorian Gray (2009),6.3,2009,0,0,273,122
Wild Target (2010),6.9,2010,0,0,409,78
Broken City (2013),6.2,2013,0,0,848,119
Better off Ted - Die Chaos AG (TV Series 2009–2010),8.2,2009,0,0,458,36
Cuestión de sexo Gonzalo y el sexo (TV Episode 2008),,2008,0,0,0,0
The Gadget Show Episode #8.8 (TV Episode 2008),,2008,0,0,0,0
Mistérios de Lisboa (2010),7.5,2010,24,13,7,20
Nim's Island\,http://www.imdb.com/title/tt1237375/,1440,video.movie,0,0,0
Will You Merry Me? (TV Movie 2008),6,2008,0,0,0,5
Street Customs (TV Series 2007– ),6.7,2007,0,0,0,0
Kvinden der drømte om en mand (2010),4.9,2010,0,0,0,7
Road Train (2010),3.8,2010,3,1,482,46
Men of a Certain Age (TV Series 2009– ),8.1,2009,4,7,686,36
Taras Bulba (2009),5.7,2009,0,0,2,18
Rebellion (2011),7,2011,0,0,31,8
Looking for Eric (2009),7.2,2009,2,5,192,46
The Tourist (2010),6,2010,3,2,2090,360
Presto (2008),8.5,2008,0,1,67,31
2008 UEFA European Football Championship (TV Series 2008– ),8,2008,0,0,0,2
Affäre in Trinidad (1952),6.7,1952,0,0,6,30
R.E.D.: Älter. Härter. Besser. (2010),7.1,2010,2,15,35,314
The Angry Video Game Nerd Double Vision: Part 1 (TV Episode 2008),8.3,2008,0,0,0,0
Ghettogangz 2 - Ultimatum (2009),6.5,2009,0,0,127,40
Friendship! (2010),6.7,2010,1,2,0,3
30 Rock Believe in the Stars (TV Episode 2008),8.6,2008,0,0,0,4
30 Rock Señor Macho Solo (TV Episode 2009),8.2,2009,0,0,0,2
Gegen alle Flaggen (1952),6.8,1952,0,0,0,23
Bones - Die Knochenjägerin Mayhem on a Cross (TV Episode 2009),8.4,2009,0,0,0,4
Bones - Die Knochenjägerin The Girl in the Mask (TV Episode 2009),8,2009,0,0,0,1
Global Metal (2008),8,2008,0,0,9,11
Il papà di Giovanna (2008),6.7,2008,10,12,0,2
The Real Housewives of Atlanta (TV Series 2008– ),4,2008,0,0,977,2
Engelsgesicht (1952),7.3,1952,0,0,8,61
Krieg der Götter (2011),6.1,2011,1,4,2751,384
Bored to Death (TV Series 2009–2011),7.9,2009,0,4,690,26
De Dana Dan (2009),4.7,2009,0,0,206,32
Numb3rs - Die Logik des Verbrechens The Fifth Man (TV Episode 2009),8.2,2009,0,0,0,0
Uned 5 Episode dated 20 June 2008 (TV Episode 2008),,2008,0,0,0,0
Exam (2009),6.9,2009,1,1,148,90
Public Enemy No. 1 - Mordinstinkt (2008),7.6,2008,6,12,95,56
Kôkaku kidôtai 2.0 (2008),8,2008,0,0,0,7
The Singing Bee The Celebrity Singing Bee: '70s Night (TV Episode 2008),,2008,0,0,0,0
Sex and the City 2 (2010),4.1,2010,7,6,2245,286
Scream 4 (2011),6.2,2011,1,3,4138,510
Eine Nacht in Rom (2010),6.2,2010,2,5,0,44
Moonlight & Mistletoe (TV Movie 2008),5.8,2008,0,0,0,5
Marihuana (1952),5.2,1952,0,0,5,33
Zift (2008),7.4,2008,11,2,21,24
The Roommate (2011),4.8,2011,0,0,678,106
Mumbai Meri Jaan (2008),7.9,2008,5,3,0,34
Gossip Girl The Dark Night (TV Episode 2008),7.7,2008,0,0,0,0
Waste Land (2010),7.9,2010,25,8,311,22
Rogues Gallery (2010),4.9,2010,0,0,60,53
Space Prey - Der Kopfgeldjäger (2010),5.8,2010,0,0,41,115
Don't Be Afraid of the Dark (2010),5.6,2010,1,2,827,243
Fortapàsc (2009),7.2,2009,5,15,0,2
Filmography Keanu Reeves (TV Episode 2005),,2005,0,0,0,0
Brotherhood (2010),6.4,2010,3,1,106,25
Die Olsenbande in feiner Gesellschaft (2010),4.6,2010,0,0,0,2
The Tempest - Der Sturm (2010),5.4,2010,1,3,708,31
Vor dem neuen Tag (1952),7.2,1952,0,0,16,73
Looper (2012),7.5,2012,10,28,3024,623
Party Animals 3 - Willkommen auf der Uni (Video 2009),5.2,2009,0,0,30,24
Comedy Central Roast of Bob Saget (TV Movie 2008),7.5,2008,0,0,0,2
The Bay City Rollers Meet the Saturday Superstars (TV Movie 1978),7.4,1978,0,0,0,0
Cropsey (2009),6.5,2009,1,1,76,27
Harold & Kumar Go to Amsterdam (Video 2008),7.2,2008,0,0,0,1
Kehr zurück\,http://www.imdb.com/title/tt0044509/,5940,video.movie,6,5,0
Død snø (2009),6.4,2009,1,0,888,186
Du gehst nicht allein (TV Movie 2010),8.4,2010,27,24,592,80
A Wild and Woolly Ride (Video 2008),,2008,0,0,0,0
Treme (TV Series 2010– ),8.1,2010,5,27,1299,32
Un novio para mi mujer (2008),6.7,2008,2,5,0,3
Casting a Classic (Video 2008),,2008,0,0,0,0
Einfach zu haben (2010),7.2,2010,4,12,2548,240
The Nanny Express (TV Movie 2008),6.6,2008,0,0,0,7
Californication Vaginatown (TV Episode 2008),8.1,2008,0,0,0,0
Canaan (2008),7,2008,1,0,0,2
Love the Beast (2009),7.5,2009,0,0,15,12
The Chronicles of Narnia: Prince Caspian T4 Movie Special (TV Movie 2008),6.9,2008,0,0,0,0
The Joneses (2009),6.5,2009,0,0,254,82
Celebrity Rehab with Dr. Drew Episode #2.5 (TV Episode 2008),,2008,0,0,0,0
Ghost Ship (1952),5.7,1952,0,0,0,8
The Roseanne Show Episode #1.12 (TV Episode 1998),,1998,0,0,0,0
Stargate: Universe (TV Series 2009–2011),7.7,2009,8,22,920,469
Getaway Golden Getaway: Getaway Goes to the Movies (TV Episode 2007),,2007,0,0,0,0
Universal Soldier: Regeneration (2009),5.2,2009,0,0,132,108
Evil Dead (2013),6.5,2013,10,5,608,732
Gamesmaster Episode #5.15 (TV Episode 1995),,1995,0,0,0,0
Gamesmaster Episode #5.2 (TV Episode 1995),,1995,0,0,0,0
Produktionsdagbog: Prag - Berlin - København (Video 2008),8.6,2008,0,0,0,0
The River Within (2009),5.1,2009,0,0,0,2
Oye Lucky! Lucky Oye! (2008),7.9,2008,3,1,0,49
De wereld draait door Episode #4.7 (TV Episode 2008),,2008,0,0,0,0
Troldspejlet Episode #40.1 (TV Episode 2008),,2008,0,0,0,0
